status,phase,nucleation_mode,T_ambient_K,T_local_K,P_total_Pa,p_v_Pa,RH_water_percent,RH_ice_percent,S_water,S_ice,gradT_K_m,DeltaT_K,P_eq_classical_Pa,P_eq_shift_Pa,DeltaP_eq_Pa,gamma_J_m2,dgamma_dr_J_m3,surface_stress_N_m,DeltaS_bulk,DeltaG_V_J_m3,DeltaG_bulk_J,DeltaG_surface_J,DeltaG_config_J,DeltaG_total_J,Gamma_1st,Gamma_2nd,r_critical_1st_m,r_critical_2nd_m,DeltaG_critical_1st_J,DeltaG_critical_2nd_J,nucleation_rate_m3_s,log10_nucleation_rate,expected_events,dominant_phase,rain_favorability,snow_favorability,graupel_favorability,hail_favorability,diagnostic_class,confidence,assumptions,warnings,validity_flags,solver_iterations,closure_residual,critical_radius_residual
ok,liquid,homogeneous,279.0,278.9998031194357,92000.0,800.0,86.42684133582114,81.68455345469687,0.8642684133582114,0.8168455345469687,78.3362875256176,0.00019688056431998243,925.63836377117,925.6257391653417,0.01262460582836411,0.07452217394870295,2969.010914290954,0.07452217394870295,-9048155.174710508,-1781.405896851774,-7.461935571481427e-18,9.364732568271433e-15,-4.673783051142347e-15,4.683487581557605e-15,-1.2354248631425906e-08,9.84402821599912e-12,-0.0001254999311292812,5.110986552152803e-06,9.357270632699952e-15,5.287794002849237e-15,1.0943848672225468e+53,53.03917007914286,6.566309203335281e+60,liquid,0.274999999999994,0.249999999999994,0.18333333333332935,0.1999999999999952,subsaturated,0.8166666666666667,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range"", ""above_triple_point_liquid_stable""]",4,0.0,0.0
ok,ice,homogeneous,279.0,278.9995985056636,92000.0,800.0,86.42684133582114,81.68455345469687,0.8642684133582114,0.8168455345469687,159.74952065923782,0.00040149433641404193,979.3773316563315,979.3463075432546,0.031024113076909998,0.10437375745526839,6225.074997332112,0.1049962649550016,-9302852.719417188,-3735.0426793399693,-1.5645310189678378e-17,1.3115993185961361e-14,-6.545727667126807e-15,6.554620208644876e-15,-1.682928859426771e-08,2.0074716820702095e-11,-8.383325525624584e-05,4.1959310359488674e-06,1.3100347875771683e-14,7.419882845765594e-15,1.2653888089220498e+49,49.10222398924681,7.592332853532299e+56,liquid,0.27499999999991714,0.24999999999991712,0.1833333333332781,0.1999999999999337,subsaturated,0.8166666666666667,"[""Result reported though outside the constitutive validity range."", ""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""out_of_range""]",5,2.842170943040401e-14,1.1102230246251565e-16
ok,liquid,homogeneous,273.5,273.4998060723985,85000.0,600.0,95.70414764476031,95.38910821989545,0.9570414764476031,0.9538910821989545,77.16134096869597,0.0001939276015427139,626.9320763684261,626.923268352571,0.008808015855152007,0.07529757030831756,2999.9031995345645,0.07529757030831756,-9281511.561494587,-1799.9412758116146,-7.539576385310409e-18,9.462171748550855e-15,-4.722413333448884e-15,4.73221883871666e-15,-1.2168950466846064e-08,9.696380077135694e-12,-0.00012549993265570058,5.110986582614257e-06,9.454632172165544e-15,5.342813229598871e-15,1.1438554066740019e+53,53.05837112930628,6.863132440044012e+60,liquid,0.4249999999999941,0.24999999999999406,0.2833333333333294,0.25999999999999523,subsaturated,0.8166666666666667,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range""]",5,0.0,0.0
ok,ice,homogeneous,273.5,273.49960701560946,85000.0,600.0,95.70414764476031,95.38910821989545,0.9570414764476031,0.9538910821989545,156.3635207859091,0.0003929843905523575,629.0026305905407,628.9823260918528,0.020304498687892192,0.10437375745526839,6225.074997332112,0.1049962649550016,-9504302.928766232,-3735.0426940861844,-1.564531025144718e-17,1.3115993185961361e-14,-6.545727667072996e-15,6.554620208636918e-15,-1.647258046000023e-08,1.9649219527617874e-11,-8.383325575271459e-05,4.195931048069891e-06,1.3100347875709914e-14,7.419882992560017e-15,1.2466336285277858e+49,49.09573883801167,7.479801771166715e+56,liquid,0.4249999999999167,0.24999999999991673,0.28333333333327787,0.2599999999999334,subsaturated,0.8166666666666667,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range""]",5,5.684341886080802e-14,0.0
ok,liquid,homogeneous,267.0,266.99980953165255,75000.0,380.0,98.32632342006407,104.40355248154928,0.9832632342006407,1.0440355248154929,75.78494750743943,0.00019046834747364784,386.46822822469,386.46259998119535,0.005628243494641083,0.07619086101483889,3035.4924707107134,0.07619086101483889,-9562191.698382888,-1821.2948510172228,-7.62902203196883e-18,9.574425969395952e-15,-4.778437557299909e-15,4.788359390064074e-15,-1.1951882588728932e-08,9.523417373682391e-12,-0.0001254999347372668,5.1109866241543045e-06,9.566796947363983e-15,5.406197850436501e-15,1.241921743991989e+53,53.094094230926544,7.451530463951933e+60,liquid,0.5499999999999943,0.3459819060193602,0.4306546040129067,0.35274999999999523,deposition_favorable,0.8166666666666667,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range""]",5,0.0,2.7755575615628914e-17
ok,ice,homogeneous,267.0,266.99961700425985,75000.0,380.0,98.32632342006407,104.40355248154928,0.9832632342006407,1.0440355248154929,152.38916306586614,0.00038299574013953767,363.97228922565205,363.9602689219824,0.012020303669658006,0.10437375745526839,6225.074997332112,0.1049962649550016,-9752178.208200257,-3735.042710822328,-1.5645310321551374e-17,1.3115993185961361e-14,-6.545727667011934e-15,6.554620208627875e-15,-1.6053890025561337e-08,1.9149787006976884e-11,-8.383325631617932e-05,4.195931061826587e-06,1.3100347875639809e-14,7.419883159163625e-15,1.2243463466463826e+49,49.087904289672466,7.346078079878295e+56,liquid,0.5499999999999163,0.34598190601928225,0.43065460401285477,0.3527499999999329,deposition_favorable,0.8166666666666667,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range""]",5,5.684341886080802e-14,0.0
ok,liquid,homogeneous,260.0,259.99981317677543,66000.0,220.0,98.80137695270905,112.35977133135778,0.9880137695270905,1.1235977133135777,74.33459919175125,0.000186823224582678,222.66896149160175,222.66558630097546,0.0033751906262864395,0.07712456107624088,3072.691676344259,0.07712456107624088,-9868229.167435428,-1843.6143939811225,-7.722513914911322e-18,9.691758179538226e-15,-4.8369961215324745e-15,4.84703954409084e-15,-1.1723151506863432e-08,9.341161229133899e-12,-0.00012549993752704328,5.1109866798275016e-06,9.684035665623315e-15,5.472449867259326e-15,1.344474091624377e+53,53.128552437669036,8.066844549746262e+60,liquid,0.5499999999999944,0.5116846416419664,0.5411230944279776,0.4057499999999954,deposition_favorable,0.8166666666666667,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range""]",5,-1.4210854715202004e-14,2.7755575615628914e-17
ok,ice,homogeneous,260.0,259.99962768172867,66000.0,220.0,98.80137695270905,112.35977133135778,0.9880137695270905,1.1235977133135777,148.14073321450078,0.0003723182713312649,195.79961528330523,195.79298369738592,0.006631585919308236,0.10437375745526839,6225.074997332112,0.1049962649550016,-10031854.506269727,-3735.0427280211047,-1.5645310393593443e-17,1.3115993185961361e-14,-6.545727666949173e-15,6.554620208618594e-15,-1.560632664364904e-08,1.8615913566563242e-11,-8.38332568952198e-05,4.195931075963554e-06,1.3100347875567767e-14,7.419883330372611e-15,1.2001923613182625e+49,49.079250858350846,7.201154167909575e+56,liquid,0.5499999999999159,0.5116846416418879,0.5411230944279253,0.4057499999999326,deposition_favorable,0.8166666666666667,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range""]",5,5.684341886080802e-14,5.551115123125783e-17
ok,liquid,homogeneous,253.0,252.9998166610399,57000.0,120.0,96.78108563998758,117.92743329894193,0.9678108563998757,1.1792743329894193,72.94825441102164,0.00018333896011989183,123.99116956218451,123.98920971590542,0.001959846279092403,0.07802854062091705,3108.706797646098,0.07802854062091705,-10173634.104774995,-1865.2234974097141,-7.813029915687224e-18,9.805355599400229e-15,-4.893690713679688e-15,4.903851855804853e-15,-1.1504514370552615e-08,9.16694800599459e-12,-0.00012549994134393918,5.110986755998047e-06,9.797542569484542e-15,5.5365931962276945e-15,1.4787864742771627e+53,53.169905469644064,8.872718845662976e+60,liquid,0.3749999999999945,0.6750304162367684,0.5333536108245123,0.4007499999999955,deposition_favorable,0.8166666666666667,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range""]",4,0.0,2.7755575615628914e-17
ok,ice,homogeneous,253.0,252.99963828059327,57000.0,120.0,96.78108563998758,117.92743329894193,0.9678108563998757,1.1792743329894193,143.9235789782292,0.00036171940671708415,101.75749326774897,101.75395617792671,0.0035370898222595315,0.10437375745526839,6225.074997332112,0.1049962649550016,-10325801.367077658,-3735.0427443777867,-1.564531046210815e-17,1.3115993185961361e-14,-6.545727666889499e-15,6.554620208609754e-15,-1.5162058073247395e-08,1.8085970335854208e-11,-8.383325744590901e-05,4.1959310894083405e-06,1.3100347875499253e-14,7.419883493198781e-15,1.1758752294513932e+49,49.07036124177793,7.05525137670836e+56,liquid,0.3749999999999153,0.6750304162366892,0.5333536108244595,0.4007499999999321,deposition_favorable,0.8166666666666667,"[""Gibbs-Thomson coefficient follows GT = r_C * dT/2."", ""Heterogeneous geometry: f(theta)=2-3cos+cos^3; factor=f/4.""]",[],"[""in_valid_range""]",5,-2.842170943040401e-14,5.551115123125783e-17
